package_code,service_code,quantity,is_mandatory,display_order

CARDIAC-BASIC,LAB-LIPID,1,true,10
CARDIAC-BASIC,LAB-HSCRP,1,true,20
CARDIAC-BASIC,CARDIO-ECG,1,true,30

CARDIAC-ADVANCED,LAB-LIPID,1,true,10
CARDIAC-ADVANCED,LAB-HSCRP,1,true,20
CARDIAC-ADVANCED,LAB-HOMOCYSTEINE,1,true,30
CARDIAC-ADVANCED,LAB-HBA1C,1,true,40
CARDIAC-ADVANCED,CARDIO-ECG,1,true,50
CARDIAC-ADVANCED,CARDIO-2DECHO,1,true,60
CARDIAC-ADVANCED,CARDIO-TMT,1,true,70

CARDIAC-DIABETIC,LAB-HBA1C,1,true,10
CARDIAC-DIABETIC,LAB-LIPID,1,true,20
CARDIAC-DIABETIC,LAB-HSCRP,1,true,30
CARDIAC-DIABETIC,LAB-HOMOCYSTEINE,1,true,40
CARDIAC-DIABETIC,CARDIO-ECG,1,true,50

CARDIAC-HYPERTENSION,LAB-LIPID,1,true,10
CARDIAC-HYPERTENSION,LAB-KFT,1,true,20
CARDIAC-HYPERTENSION,LAB-ELECTROLYTES,1,true,30
CARDIAC-HYPERTENSION,CARDIO-ECG,1,true,40
CARDIAC-HYPERTENSION,CARDIO-2DECHO,1,true,50

CARDIAC-SENIOR,LAB-LIPID,1,true,10
CARDIAC-SENIOR,LAB-HSCRP,1,true,20
CARDIAC-SENIOR,LAB-HOMOCYSTEINE,1,true,30
CARDIAC-SENIOR,LAB-HBA1C,1,true,40
CARDIAC-SENIOR,CARDIO-ECG,1,true,50
CARDIAC-SENIOR,CARDIO-2DECHO,1,true,60
CARDIAC-SENIOR,RAD-CHEST-PA,1,true,70

CARDIAC-EXECUTIVE,LAB-CBC,1,true,10
CARDIAC-EXECUTIVE,LAB-HBA1C,1,true,20
CARDIAC-EXECUTIVE,LAB-LIPID,1,true,30
CARDIAC-EXECUTIVE,LAB-HSCRP,1,true,40
CARDIAC-EXECUTIVE,LAB-HOMOCYSTEINE,1,true,50
CARDIAC-EXECUTIVE,LAB-TSH,1,true,60
CARDIAC-EXECUTIVE,CARDIO-ECG,1,true,70
CARDIAC-EXECUTIVE,CARDIO-2DECHO,1,true,80
CARDIAC-EXECUTIVE,CARDIO-TMT,1,true,90
CARDIAC-EXECUTIVE,RAD-CHEST-PA,1,true,100

CARDIAC-PREVENTIVE,LAB-LIPID,1,true,10
CARDIAC-PREVENTIVE,LAB-HSCRP,1,true,20
CARDIAC-PREVENTIVE,LAB-HBA1C,1,true,30
CARDIAC-PREVENTIVE,CARDIO-ECG,1,true,40
