package_code,service_code,quantity,is_mandatory,display_order

WOMEN-BASIC,LAB-CBC,1,true,10
WOMEN-BASIC,LAB-FBS,1,true,20
WOMEN-BASIC,LAB-LFT,1,true,30
WOMEN-BASIC,LAB-KFT,1,true,40
WOMEN-BASIC,LAB-LIPID,1,true,50
WOMEN-BASIC,LAB-TSH,1,true,60
WOMEN-BASIC,LAB-URINE-RM,1,true,70

WOMEN-ADVANCED,LAB-CBC,1,true,10
WOMEN-ADVANCED,LAB-HBA1C,1,true,20
WOMEN-ADVANCED,LAB-LFT,1,true,30
WOMEN-ADVANCED,LAB-KFT,1,true,40
WOMEN-ADVANCED,LAB-LIPID,1,true,50
WOMEN-ADVANCED,LAB-TSH,1,true,60
WOMEN-ADVANCED,LAB-VITD,1,true,70
WOMEN-ADVANCED,LAB-VITB12,1,true,80
WOMEN-ADVANCED,LAB-FERRITIN,1,true,90
WOMEN-ADVANCED,LAB-CRP,1,true,100
WOMEN-ADVANCED,LAB-URINE-RM,1,true,110

WOMEN-HORMONAL,LAB-TSH,1,true,10
WOMEN-HORMONAL,LAB-FT3,1,true,20
WOMEN-HORMONAL,LAB-FT4,1,true,30
WOMEN-HORMONAL,LAB-FSH,1,true,40
WOMEN-HORMONAL,LAB-LH,1,true,50
WOMEN-HORMONAL,LAB-PROLACTIN,1,true,60
WOMEN-HORMONAL,LAB-ESTRADIOL,1,true,70
WOMEN-HORMONAL,LAB-PROGESTERONE,1,true,80

WOMEN-FERTILITY,LAB-AMH,1,true,10
WOMEN-FERTILITY,LAB-FSH,1,true,20
WOMEN-FERTILITY,LAB-LH,1,true,30
WOMEN-FERTILITY,LAB-PROLACTIN,1,true,40
WOMEN-FERTILITY,LAB-TSH,1,true,50
WOMEN-FERTILITY,LAB-ESTRADIOL,1,true,60
WOMEN-FERTILITY,LAB-PROGESTERONE,1,true,70
WOMEN-FERTILITY,GYNAE-FOLLICULAR-STUDY,1,true,80

WOMEN-PCOS,LAB-HBA1C,1,true,10
WOMEN-PCOS,LAB-TSH,1,true,20
WOMEN-PCOS,LAB-FASTING-INSULIN,1,true,30
WOMEN-PCOS,LAB-TESTOSTERONE,1,true,40
WOMEN-PCOS,LAB-DHEAS,1,true,50
WOMEN-PCOS,LAB-LH,1,true,60
WOMEN-PCOS,LAB-FSH,1,true,70
WOMEN-PCOS,GYNAE-PCOS-ASSESSMENT,1,true,80

WOMEN-PRENATAL,LAB-CBC,1,true,10
WOMEN-PRENATAL,LAB-BETAHCG,1,true,20
WOMEN-PRENATAL,LAB-HIV,1,true,30
WOMEN-PRENATAL,LAB-HBSAG,1,true,40
WOMEN-PRENATAL,LAB-HCV,1,true,50
WOMEN-PRENATAL,LAB-VDRL,1,true,60
WOMEN-PRENATAL,LAB-TORCH,1,true,70
WOMEN-PRENATAL,RAD-USG-OBSTETRIC,1,true,80

WOMEN-SENIOR,LAB-CBC,1,true,10
WOMEN-SENIOR,LAB-HBA1C,1,true,20
WOMEN-SENIOR,LAB-LFT,1,true,30
WOMEN-SENIOR,LAB-KFT,1,true,40
WOMEN-SENIOR,LAB-LIPID,1,true,50
WOMEN-SENIOR,LAB-TSH,1,true,60
WOMEN-SENIOR,LAB-VITD,1,true,70
WOMEN-SENIOR,LAB-CALCIUM,1,true,80
WOMEN-SENIOR,LAB-FERRITIN,1,true,90

WOMEN-EXECUTIVE,LAB-CBC,1,true,10
WOMEN-EXECUTIVE,LAB-HBA1C,1,true,20
WOMEN-EXECUTIVE,LAB-LFT,1,true,30
WOMEN-EXECUTIVE,LAB-KFT,1,true,40
WOMEN-EXECUTIVE,LAB-LIPID,1,true,50
WOMEN-EXECUTIVE,LAB-TSH,1,true,60
WOMEN-EXECUTIVE,LAB-VITD,1,true,70
WOMEN-EXECUTIVE,LAB-VITB12,1,true,80
WOMEN-EXECUTIVE,LAB-FERRITIN,1,true,90
WOMEN-EXECUTIVE,LAB-CRP,1,true,100
WOMEN-EXECUTIVE,LAB-PAPSMEAR,1,true,110
WOMEN-EXECUTIVE,RAD-MAMMOGRAPHY,1,true,120
