ordering,code,name,category_code,short_name,sample_type,home_collection_possible,tat_hours_default,is_active

10,ENDO-PITUITARY-ASSESSMENT,Pituitary Function Assessment,ENDO,Pituitary Assessment,None,false,24,true
20,ENDO-ADRENAL-ASSESSMENT,Adrenal Function Assessment,ENDO,Adrenal Assessment,None,false,24,true
30,ENDO-METABOLIC-ASSESSMENT,Metabolic Endocrine Assessment,ENDO,Metabolic Assessment,None,false,24,true
40,ENDO-OBESITY-ASSESSMENT,Endocrine Obesity Evaluation,ENDO,Obesity Assessment,None,false,24,true

50,ENDO-GROWTH-ASSESSMENT,Growth Disorder Evaluation,ENDO,Growth Assessment,None,false,24,true
60,ENDO-PUBERTY-ASSESSMENT,Delayed or Precocious Puberty Assessment,ENDO,Puberty Assessment,None,false,24,true
70,ENDO-BONE-METABOLIC,Metabolic Bone Disease Assessment,ENDO,Bone Metabolic,None,false,24,true
80,ENDO-OSTEOPOROSIS-ASSESSMENT,Osteoporosis Endocrine Evaluation,ENDO,Osteoporosis,None,false,24,true

90,ENDO-THYROID-NODULE-ASSESSMENT,Thyroid Nodule Evaluation,ENDO,Thyroid Nodule,None,false,24,true
100,ENDO-THYROID-CANCER-FOLLOWUP,Thyroid Cancer Follow Up Assessment,ENDO,Thyroid Cancer FU,None,false,24,true

110,ENDO-PCOS-ENDO,PCOS Endocrine Assessment,ENDO,PCOS Endocrine,None,false,24,true
120,ENDO-INFERTILITY-HORMONAL,Female Hormonal Infertility Assessment,ENDO,Fertility Hormonal,None,false,24,true
130,ENDO-MALE-HORMONAL,Male Hormonal Evaluation,ENDO,Male Hormonal,None,false,24,true

140,ENDO-PITUITARY-MRI-REVIEW,Pituitary MRI Clinical Review,ENDO,Pituitary MRI Review,None,false,24,true
150,ENDO-ADRENAL-INCIDENTALOMA,Adrenal Incidentaloma Evaluation,ENDO,Adrenal Incidentaloma,None,false,24,true

160,ENDO-HYPERTENSION-ENDO,Secondary Hypertension Endocrine Workup,ENDO,Endocrine HTN,None,false,24,true
170,ENDO-ELECTROLYTE-DISORDER,Electrolyte Disorder Endocrine Evaluation,ENDO,Electrolyte Disorder,None,false,24,true

180,ENDO-MENOPAUSE-HORMONAL,Menopause Hormonal Assessment,ENDO,Menopause Assessment,None,false,24,true
190,ENDO-ANDROLOGY,Andrology Endocrine Evaluation,ENDO,Andrology,None,false,24,true

200,ENDO-CUSHING-ASSESSMENT,Cushing Syndrome Evaluation,ENDO,Cushing Assessment,None,false,24,true
210,ENDO-ACROMEGALY-ASSESSMENT,Acromegaly Evaluation,ENDO,Acromegaly,None,false,24,true
220,ENDO-HYPOPITUITARY-ASSESSMENT,Hypopituitarism Assessment,ENDO,Hypopituitary,None,false,24,true

230,ENDO-THYROID-EYE-ASSESSMENT,Thyroid Eye Disease Assessment,ENDO,Thyroid Eye,None,false,24,true
240,ENDO-METABOLIC-SYNDROME,Metabolic Syndrome Assessment,ENDO,Metabolic Syndrome,None,false,24,true

250,ENDO-CHILD-ENDO,Pediatric Endocrine Evaluation,ENDO,Ped Endocrine,None,false,24,true
260,ENDO-INSULIN-RESISTANCE,Insulin Resistance Clinical Assessment,ENDO,Insulin Resistance,None,false,24,true

270,ENDO-REPRODUCTIVE-ENDO,Reproductive Endocrine Assessment,ENDO,Reproductive Endo,None,false,24,true
280,ENDO-HORMONE-THERAPY-FOLLOWUP,Hormone Therapy Follow Up,ENDO,Hormone Therapy FU,None,false,24,true
290,ENDO-THYROID-PREGNANCY,Thyroid Disorder in Pregnancy Assessment,ENDO,Thyroid Pregnancy,None,false,24,true
300,ENDO-POST-BARIATRIC,Post Bariatric Endocrine Assessment,ENDO,Post Bariatric,None,false,24,true
